date,stocks,count
2017-08-31,"ADANIENT, ADANIPORTS, ADANIPOWER, AMBUJACEM, ASHOKLEY, BAJAJFINSV, BAJFINANCE, BATAINDIA, BEL, BEML, BHARTIARTL, BPCL, CESC, CHAMBLFERT, CIPLA, CONCOR, DABUR, DELTACORP, GAIL, GRAPHITE, GRASIM, GSFC, HAVELLS, HDFCBANK, HFCL, HINDALCO, HINDZINC, ICICIBANK, IOC, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, MANINFRA, NATIONALUM, NESTLEIND, NTPC, PETRONET, POWERGRID, PTC, RAIN, RAYMOND, RBLBANK, RCF, RELIANCE, SAIL, SAREGAMA, TATASTEEL, TCS, TITAN, TORNTPOWER, TVSMOTOR, VBL, VEDL, VOLTAS, WIPRO, YESBANK",58
2017-09-29,"ASHOKLEY, AXISBANK, BAJFINANCE, CESC, CIPLA, COFORGE, CONCOR, DELTACORP, FEDERALBNK, GAIL, GNFC, GRAPHITE, HDFCBANK, HFCL, HINDALCO, HINDZINC, INDUSINDBK, INDUSTOWER, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, KOTAKBANK, MINDACORP, MOTHERSON, MUTHOOTFIN, NATIONALUM, NBCC, NESTLEIND, NITCO, PETRONET, PTC, RADICO, RAIN, RAYMOND, SHRIRAMFIN, TATACHEM, TATASTEEL, TORNTPOWER, TVSMOTOR, VEDL",41
2017-10-31,"ADANIENSOL, ADANIENT, ADANIPORTS, ADANITRANS, AMBUJACEM, ANANTRAJ, ASHOKLEY, AUROPHARMA, AXISBANK, BANKBARODA, BEL, BHARTIARTL, BHEL, BIOCON, BPCL, BSOFT, CANBK, CGPOWER, CHOLAFIN, CIPLA, COFORGE, CONCOR, DABUR, DELTACORP, DIVISLAB, DLF, FEDERALBNK, GAIL, GMRINFRA, GNFC, GRAPHITE, GSFC, HDFCBANK, HFCL, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, INDIANB, INDUSTOWER, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KOTAKBANK, LT, M&M, MOTHERSON, NATIONALUM, NBCC, NETWORK18, NTPC, PETRONET, PFC, PNB, PTC, RADICO, RAIN, RAYMOND, RBLBANK, RECLTD, RELIANCE, SAIL, SAREGAMA, SBIN, SHRIRAMFIN, SJVN, SOUTHBANK, SRF, TATACHEM, TATAPOWER, TATASTEEL, TCS, TECHM, TEXRAIL, TITAGARH, TITAN, TORNTPOWER, UNIONBANK, VEDL, VGUARD, VOLTAS, WIPRO, ZEEL",85
2017-11-30,"ABFRL, ADANIENT, ANANTRAJ, APOLLOTYRE, AXISBANK, BAJAJFINSV, BEL, BHARTIARTL, BIOCON, BSOFT, CANBK, CGPOWER, CHOLAFIN, COFORGE, CROMPTON, DABUR, DCBBANK, DELTACORP, DIVISLAB, DLF, GAIL, GMRINFRA, GNFC, GRAPHITE, HAVELLS, HDFCBANK, HFCL, HINDUNILVR, ICICIBANK, INDHOTEL, INDIANB, INFY, JINDALSTEL, JSWENERGY, JUBLFOOD, JUSTDIAL, LT, M&M, MANAPPURAM, MINDACORP, MOTHERSON, NBCC, NESTLEIND, NETWORK18, NTPC, PETRONET, PIDILITIND, PNB, PRAJIND, RADICO, RAIN, RAYMOND, RCF, RELIANCE, SAIL, SAREGAMA, SBIN, SHRIRAMFIN, SONATSOFTW, SOUTHBANK, SRF, TATACHEM, TATAPOWER, TATASTEEL, TCS, TECHM, TEXRAIL, TITAGARH, TITAN, TORNTPOWER, UNIONBANK, VBL, VGUARD, VOLTAS, ZEEL",75
2017-12-29,"ABFRL, ADANIENSOL, ADANIENT, ADANIPOWER, ADANITRANS, AMBUJACEM, ANANTRAJ, APOLLOTYRE, AXISBANK, BAJAJFINSV, BEL, BHARTIARTL, BIOCON, BPCL, BSOFT, CESC, CGPOWER, CHOLAFIN, CIPLA, COFORGE, DCBBANK, DELTACORP, DLF, EXIDEIND, GAIL, GMRINFRA, GNFC, GRAPHITE, GSFC, HAVELLS, HCLTECH, HDFCBANK, HINDALCO, HINDUNILVR, HINDZINC, ICICIBANK, INFY, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KARURVYSYA, LT, LTFOODS, M&M, MANAPPURAM, MANINFRA, MOTHERSON, NATIONALUM, NETWORK18, NFL, NHPC, NITCO, ONGC, PIDILITIND, PRAJIND, PTC, RADICO, RAIN, RAYMOND, RCF, RPOWER, SAIL, SAREGAMA, SHRIRAMFIN, SONATSOFTW, SRF, TATACHEM, TATAPOWER, TATASTEEL, TCS, TECHM, TITAGARH, TITAN, TORNTPOWER, VBL, VEDL, VGUARD, VOLTAS, WIPRO, ZEEL",81
2018-01-31,"ADANIENT, ADANIPORTS, APLAPOLLO, ASHOKLEY, AXISBANK, BIOCON, BSOFT, CGPOWER, COALINDIA, COFORGE, CONCOR, DABUR, DELTACORP, DLF, GMRINFRA, GNFC, GODREJCP, GRAPHITE, HCLTECH, HDFCBANK, HINDUNILVR, HINDZINC, ICICIBANK, INDHOTEL, INDUSINDBK, INFY, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KOTAKBANK, LT, LTFOODS, M&M, NETWORK18, NMDC, ONGC, PETRONET, RADICO, RAYMOND, RCF, RELIANCE, SAIL, SONATSOFTW, SWANENERGY, TATASTEEL, TCS, TECHM, TITAN, TORNTPOWER, VBL, VEDL, WELCORP, WIPRO, YESBANK, ZEEL",56
2018-02-28,"ADANIENT, APOLLOTYRE, ASHOKLEY, BIOCON, BSOFT, CANFINHOME, CHAMBLFERT, CHOLAFIN, COALINDIA, COFORGE, DELTACORP, HCLTECH, HINDZINC, INDHOTEL, INFY, IPCALAB, JINDALSTEL, JSWSTEEL, JUBLFOOD, KEC, KOTAKBANK, LTFOODS, NESTLEIND, PIDILITIND, RADICO, RELIANCE, SONATSOFTW, TCS, TECHM, VEDL, VGUARD",31
2018-03-28,"APOLLOTYRE, ASHOKLEY, BAJAJFINSV, BAJFINANCE, BSOFT, CHOLAFIN, COFORGE, GRAPHITE, HCLTECH, IDBI, INDUSINDBK, JUBLFOOD, MARICO, NESTLEIND, NETWORK18, SHRIRAMFIN, TECHM, TITAN, VOLTAS",19
2018-04-30,"ADANIPORTS, APOLLOTYRE, ASHOKLEY, BAJAJFINSV, BAJFINANCE, BIOCON, BSOFT, CESC, CHAMBLFERT, CHOLAFIN, CIPLA, COFORGE, DABUR, DLF, EXIDEIND, GMRINFRA, GNFC, HAVELLS, HCLTECH, HDFCBANK, HFCL, HINDZINC, INDHOTEL, INDIGO, INFY, JINDALSTEL, JSWENERGY, JSWSTEEL, JUBLFOOD, KOTAKBANK, LT, M&M, MANAPPURAM, MARICO, MOTHERSON, NATIONALUM, NESTLEIND, NTPC, PIDILITIND, PRAJIND, RADICO, RAYMOND, RELIANCE, SAIL, SHRIRAMFIN, SRF, TATACHEM, TATAELXSI, TATAPOWER, TCS, TECHM, TITAN, VBL, VGUARD, VOLTAS, YESBANK, ZEEL",57
2018-05-31,"ASIANPAINT, AXISBANK, BAJAJFINSV, BAJFINANCE, BERGEPAINT, BIOCON, BSOFT, COALINDIA, COFORGE, CONCOR, DABUR, DCBBANK, DMART, EXIDEIND, GAIL, GNFC, GRAPHITE, HAVELLS, HDFCBANK, HINDUNILVR, INDIANB, INDUSINDBK, INFY, JSWENERGY, JSWSTEEL, JUBLFOOD, JUSTDIAL, KOTAKBANK, LT, M&M, MPHASIS, NESTLEIND, PIDILITIND, PRAJIND, RADICO, SAIL, SAREGAMA, TATACHEM, TCS, TECHM, VBL",41
2018-06-29,"BAJAJFINSV, BAJFINANCE, BATAINDIA, BSOFT, CIPLA, COFORGE, DABUR, EXIDEIND, GLENMARK, HAVELLS, HDFCBANK, HFCL, HINDUNILVR, INDIANB, INFY, JUBLFOOD, JUSTDIAL, KOTAKBANK, M&M, MARICO, NESTLEIND, RBLBANK, RELIANCE, SAIL, SUNPHARMA, TCS, VBL",27
